GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maybe,com.maybe.maybe.dto,ComponentReportDTO,76,0,0,0,17,0,9,0,9,0
maybe,com.maybe.maybe.dto,ProductDTO,0,17,0,0,0,7,0,5,0,5
maybe,com.maybe.maybe.dto,OrderDTO,11,55,0,0,5,23,3,16,3,16
maybe,com.maybe.maybe.dto,InvoiceDTO,24,24,0,0,1,10,1,7,1,7
maybe,com.maybe.maybe.dto,EmployeeReportDTO,64,0,4,0,20,0,11,0,9,0
maybe,com.maybe.maybe.dto,EmployeeDTO,0,79,0,0,0,21,0,11,0,11
maybe,com.maybe.maybe.dto,DeskDTO,7,23,0,0,4,5,2,3,2,3
maybe,com.maybe.maybe.dto,SummaryDTO,58,0,0,0,17,0,9,0,9,0
maybe,com.maybe.maybe.dto,ProductReportDTO,24,0,0,0,10,0,5,0,5,0
maybe,com.maybe.maybe.dto,InvoiceItemDTO,22,24,0,0,1,10,1,7,1,7
maybe,com.maybe.maybe.dto,DeskReportDTO,36,0,0,0,16,0,8,0,8,0
maybe,com.maybe.maybe.dto,ComponentProductDTO,17,0,0,0,7,0,5,0,5,0
maybe,com.maybe.maybe.dto,OrderItemDTO,27,31,0,0,1,13,1,9,1,9
maybe,com.maybe.maybe.dto,ComponentDTO,0,17,0,0,0,7,0,5,0,5
maybe,com.maybe.maybe.controller,OrderController,96,9,0,0,18,4,5,1,5,1
maybe,com.maybe.maybe.controller,StatisticsController,30,6,0,0,5,3,5,1,5,1
maybe,com.maybe.maybe.controller,ProductController,0,31,0,0,0,7,0,5,0,5
maybe,com.maybe.maybe.controller,OrderItemController,92,6,0,0,17,3,5,1,5,1
maybe,com.maybe.maybe.controller,ComponentProductController,26,6,0,0,4,3,4,1,4,1
maybe,com.maybe.maybe.controller,InvoiceController,0,73,0,0,0,15,0,6,0,6
maybe,com.maybe.maybe.controller,DeskController,8,54,1,1,2,14,1,6,0,6
maybe,com.maybe.maybe.controller,EmployeeController,0,46,0,0,0,13,0,6,0,6
maybe,com.maybe.maybe.controller,InvoiceItemController,0,73,0,0,0,15,0,6,0,6
maybe,com.maybe.maybe.controller,ComponentController,25,6,0,0,4,3,4,1,4,1
maybe,com.maybe.maybe,MaYBEApplication,5,8,0,0,2,2,1,2,1,2
maybe,com.maybe.maybe,MaYBEApplication.new WebMvcConfigurer() {...},0,18,0,0,0,3,0,2,0,2
maybe,com.maybe.maybe.exception,RestExceptionHandler,136,3,4,0,18,1,8,1,6,1
maybe,com.maybe.maybe.exception,UnmodifiedEntityException,4,0,0,0,2,0,1,0,1,0
maybe,com.maybe.maybe.exception,ApiError,51,0,0,0,21,0,9,0,9,0
maybe,com.maybe.maybe.exception,NotEnoughComponentException,0,4,0,0,0,2,0,1,0,1
maybe,com.maybe.maybe.aop,UsageStatistics,41,8,2,0,9,2,4,2,3,2
maybe,com.maybe.maybe.entity.enums,Measure,0,75,0,0,0,10,0,3,0,3
maybe,com.maybe.maybe.entity.enums,InvoiceType,0,39,0,0,0,7,0,3,0,3
maybe,com.maybe.maybe.entity.enums,DeskState,3,48,0,0,1,7,1,2,1,2
maybe,com.maybe.maybe.entity.enums,UserRole,0,39,0,0,0,7,0,3,0,3
maybe,com.maybe.maybe.entity.enums.converter,UserRoleConverter,5,4,0,0,1,2,1,1,1,1
maybe,com.maybe.maybe.entity.enums.converter,DeskStateConverter,5,4,0,0,1,2,1,1,1,1
maybe,com.maybe.maybe.entity.enums.converter,EnumDBConverter,19,36,1,1,2,9,2,5,1,5
maybe,com.maybe.maybe.entity.enums.converter,MeasureConverter,5,4,0,0,1,2,1,1,1,1
maybe,com.maybe.maybe.entity.enums.converter,InvoiceTypeConverter,0,9,0,0,0,3,0,2,0,2
maybe,com.maybe.maybe.config,CustomWebSecurityConfigurerAdapter,0,45,0,0,0,13,0,4,0,4
maybe,com.maybe.maybe.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
maybe,com.maybe.maybe.config,MaybeBasicAuthenticationEntryPoint,30,9,0,0,5,4,1,2,1,2
maybe,com.maybe.maybe.entity,Employee,37,37,0,0,3,15,3,9,3,9
maybe,com.maybe.maybe.entity,Order,7,50,0,0,3,20,2,13,2,13
maybe,com.maybe.maybe.entity,Component,6,57,0,0,2,20,2,12,2,12
maybe,com.maybe.maybe.entity,AbstractEntity,15,34,2,4,3,9,4,6,2,5
maybe,com.maybe.maybe.entity,InvoiceItem,0,31,0,0,0,13,0,9,0,9
maybe,com.maybe.maybe.entity,OrderItem,0,31,0,0,0,13,0,9,0,9
maybe,com.maybe.maybe.entity,ComponentProduct,21,3,0,0,9,1,6,1,6,1
maybe,com.maybe.maybe.entity,Desk,4,13,0,0,2,5,1,4,1,4
maybe,com.maybe.maybe.entity,Invoice,4,39,0,0,2,15,1,10,1,10
maybe,com.maybe.maybe.entity,Product,0,29,0,0,0,11,0,7,0,7
maybe,com.maybe.maybe.service,EmployeeService,0,187,0,10,0,33,0,11,0,6
maybe,com.maybe.maybe.service,OrderService,9,172,1,1,2,38,1,9,0,9
maybe,com.maybe.maybe.service,ProductService,0,82,0,2,0,17,0,9,0,8
maybe,com.maybe.maybe.service,ComponentProductService,113,12,0,0,18,5,8,1,8,1
maybe,com.maybe.maybe.service,OrderItemService,259,100,0,2,53,25,11,5,11,4
maybe,com.maybe.maybe.service,StatisticsService,0,84,0,4,0,16,0,10,0,8
maybe,com.maybe.maybe.service,DeskService,44,142,1,11,8,28,3,12,2,7
maybe,com.maybe.maybe.service,SynchronizeInvoiceOrderService,172,9,6,0,45,4,11,1,8,1
maybe,com.maybe.maybe.service,InvoiceService,57,121,1,9,9,28,3,12,2,8
maybe,com.maybe.maybe.service,InvoiceItemService,0,125,1,1,0,27,1,7,0,7
maybe,com.maybe.maybe.service,ComponentService,7,197,1,9,2,37,1,14,0,10
